organization,type,gender,name,link,,,
SPCA,Cat,M,峰峰,https://siuyeo.ng/hkaad20251105,,,
Paws United Charity,Dog,F,Kylie,https://siuyeo.ng/hkaad20251104,,,
HKSCDA,Cat,M,樂樂,https://siuyeo.ng/hkaad20251103,,,
SAA,Cat,F,Wasabi,https://siuyeo.ng/hkaad20251102,,,
HKAAC,Dog,F,香蕉,https://siuyeo.ng/hkaad20251101,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20251031,,,
Hong Kong Rabit Society,Rabbit,F,Yama,https://siuyeo.ng/hkaad20251030,,,
Hong Kong Dog Rescue,Dog,M,Mercury,https://siuyeo.ng/hkaad20251029,,,
SPCA,Dog,F,Spongebob,https://siuyeo.ng/hkaad20251028,,,
Paws United Charity,Dog,F,Sienna,https://siuyeo.ng/hkaad20251027,,,
HKSCDA,Cat,F,古心怡,https://siuyeo.ng/hkaad20251026,,,
SAA,Cat,F,Yan Yan,https://siuyeo.ng/hkaad20251025,,,
HKAAC,Dog,F,乖乖,https://siuyeo.ng/hkaad20251024,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20251023,,,
Hong Kong Rabit Society,Rabbit,F,Ciwi,https://siuyeo.ng/hkaad20251022,,,
Hong Kong Dog Rescue,Dog,M,Tumble,https://siuyeo.ng/hkaad20251021,,,
SPCA,Dog,F,Moana,https://siuyeo.ng/hkaad20251020,,,
Paws United Charity,Dog,F,Bridgette,https://siuyeo.ng/hkaad20251019,,,
HKSCDA,Cat,M,細佬,https://siuyeo.ng/hkaad20251018,,,
SAA,Cat,F,Mei Mei,https://siuyeo.ng/hkaad20251017,,,
HKAAC,Cat,M,Winson,https://siuyeo.ng/hkaad20251016,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20251015,,,
Hong Kong Rabit Society,Rabbit,M,Vegas,https://siuyeo.ng/hkaad20251014,,,
Hong Kong Dog Rescue,Dog,F,Erin,https://siuyeo.ng/hkaad20251013,,,
SPCA,Dog,M,小邁,https://siuyeo.ng/hkaad20251012,,,
Paws United Charity,Dog,F,Swan,https://siuyeo.ng/hkaad20251011,,,
HKSCDA,Cat,F,水飯飯,https://siuyeo.ng/hkaad20251010,,,
SAA,Cat,F,Z,https://siuyeo.ng/hkaad20251009,,,
HKAAC,Dog,M,叻仔,https://siuyeo.ng/hkaad20251008,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20251007,,,
Hong Kong Rabit Society,Rabbit,M,Gin,https://siuyeo.ng/hkaad20251006,,,
Hong Kong Dog Rescue,Dog,F,Unity,https://siuyeo.ng/hkaad20251005,,,
SPCA,Dog,F,琑琑,https://siuyeo.ng/hkaad20251004,,,
Paws United Charity,Dog,M,Bose,https://siuyeo.ng/hkaad20251003,,,
HKSCDA,Cat,F,美細妹,https://siuyeo.ng/hkaad20251002,,,
SAA,Cat,M,Tab,https://siuyeo.ng/hkaad20251001,,,
HKAAC,Dog,M,Windsor,https://siuyeo.ng/hkaad20250930,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20250929,,,
Hong Kong Rabit Society,Rabbit,F,Gulu,https://siuyeo.ng/hkaad20250928,,,
Hong Kong Dog Rescue,Dog,F,Viva,https://siuyeo.ng/hkaad20250927,,,
SPCA,Dog,F,Dorma,https://siuyeo.ng/hkaad20250926,,,
Paws United Charity,Dog,M,George,https://siuyeo.ng/hkaad20250925,,,
HKSCDA,Cat,F,美家姐,https://siuyeo.ng/hkaad20250924,,,
SAA,Cat,M,Gin,https://siuyeo.ng/hkaad20250923,,,
HKAAC,Dog,M,Bear Bear,https://siuyeo.ng/hkaad20250922,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20250921,,,
Hong Kong Rabit Society,Rabbit,M,Goma,https://siuyeo.ng/hkaad20250920,,,
Hong Kong Dog Rescue,Dog,M,Theo,https://siuyeo.ng/hkaad20250919,,,
SPCA,Dog,M,樂諾,https://siuyeo.ng/hkaad20250918,,,
Paws United Charity,Dog,F,Sammy,https://siuyeo.ng/hkaad20250917,,,
HKSCDA,Cat,F,王梅子,https://siuyeo.ng/hkaad20250916,,,
SAA,Cat,F,Dit Dit,https://siuyeo.ng/hkaad20250915,,,
HKAAC,Cat,M,喱喱,https://siuyeo.ng/hkaad20250914,,,
HKHERP,Turtle,N/A,阿聰,https://siuyeo.ng/hkaad20250913,,,
Hong Kong Rabit Society,Rabbit,F,Lilo,https://siuyeo.ng/hkaad20250912,,,
Hong Kong Dog Rescue,Dog,F,Kira,https://siuyeo.ng/hkaad20250911,,,
SPCA,Dog,M,Truffle,https://siuyeo.ng/hkaad20250910,,,
Paws United Charity,Dog,F,Sandra,https://siuyeo.ng/hkaad20250909,,,
HKSCDA,Cat,F,靜靜,https://siuyeo.ng/hkaad20250908,,,
SAA,Cat,M,DuDu,https://siuyeo.ng/hkaad20250907,,,
HKAAC,Cat,F,黑芝麻,https://siuyeo.ng/hkaad20250906,,,
HKHERP,Lizard,M,Crown,https://siuyeo.ng/hkaad20250905,,,
Hong Kong Rabit Society,Rabbit,F,Mugi,https://siuyeo.ng/hkaad20250904,,,
Hong Kong Dog Rescue,Dog,M,Wiggy,https://siuyeo.ng/hkaad20250903,,,
SPCA,Dog,M,Choco,https://siuyeo.ng/hkaad20250902,,,
Paws United Charity,Dog,F,Sonos,https://siuyeo.ng/hkaad20250901,,,
HKSCDA,Cat,F,埔娃娃,https://siuyeo.ng/hkaad20250831,,,
SAA,Cat,F,嘉嘉,https://siuyeo.ng/hkaad20250830,,,
HKAAC,Cat,F,安安,https://siuyeo.ng/hkaad20250829,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20250828,,,
Hong Kong Rabit Society,Rabbit,F,Bokki,https://siuyeo.ng/hkaad20250827,,,
Hong Kong Dog Rescue,Dog,M,Ziggy,https://siuyeo.ng/hkaad20250826,,,
SPCA,Dog,M,Solar,https://siuyeo.ng/hkaad20250825,,,
Paws United Charity,Dog,M,Almond,https://siuyeo.ng/hkaad20250824,,,
HKSCDA,Cat,M,囝囝,https://siuyeo.ng/hkaad20250823,,,
SAA,Cat,M,松松,https://siuyeo.ng/hkaad20250822,,,
HKAAC,Dog,M,Billy,https://siuyeo.ng/hkaad20250821,,,
HKHERP,Turtle,N/A,阿聰,https://siuyeo.ng/hkaad20250820,,,
Hong Kong Rabit Society,Rabbit,F,Mercury,https://siuyeo.ng/hkaad20250819,,,
Hong Kong Dog Rescue,Dog,F,Tinker,https://siuyeo.ng/hkaad20250818,,,
SPCA,Dog,F,Minions,https://siuyeo.ng/hkaad20250817,,,
Paws United Charity,Dog,F,Holly,https://siuyeo.ng/hkaad20250816,,,
HKSCDA,Cat,F,雪碧,https://siuyeo.ng/hkaad20250815,,,
SAA,Cat,F,露露,https://siuyeo.ng/hkaad20250814,,,
HKAAC,Dog,M,豬仔,https://siuyeo.ng/hkaad20250813,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20250812,,,
Hong Kong Rabit Society,Rabbit,M,Slinky,https://siuyeo.ng/hkaad20250811,,,
Hong Kong Dog Rescue,Dog,F,Omega,https://siuyeo.ng/hkaad20250810,,,
SPCA,Dog,M,Don Don,https://siuyeo.ng/hkaad20250809,,,
Paws United Charity,Dog,M,Frank,https://siuyeo.ng/hkaad20250808,,,
HKSCDA,Cat,F,芬達,https://siuyeo.ng/hkaad20250807,,,
SAA,Cat,F,Puffie,https://siuyeo.ng/hkaad20250806,,,
HKAAC,Cat,M,仔仔,https://siuyeo.ng/hkaad20250805,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20250804,,,
Hong Kong Rabit Society,Rabbit,F,Woody,https://siuyeo.ng/hkaad20250803,,,
Hong Kong Dog Rescue,Dog,M,Oscar,https://siuyeo.ng/hkaad20250802,,,
SPCA,Cat,F,黑黑,https://siuyeo.ng/hkaad20250801,,,
Paws United Charity,Cat,M,Lodi,https://siuyeo.ng/hkaad20250731,,,
HKSCDA,Cat,M,大腳板,https://siuyeo.ng/hkaad20250730,,,
SAA,Cat,M,Bill Bill,https://siuyeo.ng/hkaad20250729,,,
HKAAC,Cat,F,Renee,https://siuyeo.ng/hkaad20250728,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20250727,,,
Hong Kong Rabit Society,Rabbit,F,Bubbly,https://siuyeo.ng/hkaad20250726,,,
Hong Kong Dog Rescue,Dog,F,Coral,https://siuyeo.ng/hkaad20250725,,,
SPCA,Dog,M,James,https://siuyeo.ng/hkaad20250724,,,
Paws United Charity,Cat,F,Maisy,https://siuyeo.ng/hkaad20250723,,,
HKSCDA,Cat,M,Soriano,https://siuyeo.ng/hkaad20250722,,,
SAA,Cat,F,Luna,https://siuyeo.ng/hkaad20250721,,,
HKAAC,Cat,M,Romeo,https://siuyeo.ng/hkaad20250720,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20250719,,,
Hong Kong Rabit Society,Rabbit,F,Brulee,https://siuyeo.ng/hkaad20250718,,,
Hong Kong Dog Rescue,Dog,M,Carter,https://siuyeo.ng/hkaad20250717,,,
SPCA,Dog,M,鼻鼻,https://siuyeo.ng/hkaad20250716,,,
Paws United Charity,Cat,M,Bobbie,https://siuyeo.ng/hkaad20250715,,,
HKSCDA,Cat,M,Leon,https://siuyeo.ng/hkaad20250714,,,
SAA,Cat,M,Sol,https://siuyeo.ng/hkaad20250713,,,
HKAAC,Cat,F,辣椒妹,https://siuyeo.ng/hkaad20250712,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20250711,,,
Hong Kong Rabit Society,Rabbit,F,Qoo,https://siuyeo.ng/hkaad20250710,,,
Hong Kong Dog Rescue,Dog,M,Jimmy,https://siuyeo.ng/hkaad20250709,,,
SPCA,Dog,F,Gigi,https://siuyeo.ng/hkaad20250708,,,
Paws United Charity,Dog,F,Meko,https://siuyeo.ng/hkaad20250707,,,
HKSCDA,Cat,M,嘟嘟,https://siuyeo.ng/hkaad20250706,,,
SAA,Cat,M,水水,https://siuyeo.ng/hkaad20250705,,,
HKAAC,Cat,F,Mimi,https://siuyeo.ng/hkaad20250704,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20250703,,,
Hong Kong Rabit Society,Rabbit,F,Monki,https://siuyeo.ng/hkaad20250702,,,
Hong Kong Dog Rescue,Dog,M,Roman,https://siuyeo.ng/hkaad20250701,,,
SPCA,Cat,F,點點,https://siuyeo.ng/hkaad20250630,,,
Paws United Charity,Dog,F,Fiat,https://siuyeo.ng/hkaad20250629,,,
HKSCDA,Cat,M,Cello,https://siuyeo.ng/hkaad20250628,,,
SAA,Cat,F,小花,https://siuyeo.ng/hkaad20250627,,,
HKAAC,Dog,M,吉仔,https://siuyeo.ng/hkaad20250626,,,
HKHERP,Snake,N/A,Higos,https://siuyeo.ng/hkaad20250625,,,
Hong Kong Rabit Society,Rabbit,F,Gloria,https://siuyeo.ng/hkaad20250624,,,
Hong Kong Dog Rescue,Dog,F,Sabrina,https://siuyeo.ng/hkaad20250623,,,
SPCA,Dog,F,芝麻,https://siuyeo.ng/hkaad20250622,,,
Paws United Charity,Cat,F,Pewter,https://siuyeo.ng/hkaad20250621,,,
HKSCDA,Cat,M,晨光,https://siuyeo.ng/hkaad20250620,,,
SAA,Cat,M,Panther,https://siuyeo.ng/hkaad20250619,,,
HKAAC,Cat,F,Lucy,https://siuyeo.ng/hkaad20250618,,,
HKHERP,Frog,N/A,蛋黃妹,https://siuyeo.ng/hkaad20250617,,,
Hong Kong Rabit Society,Rabbit,F,Jippi,https://siuyeo.ng/hkaad20250616,,,
Hong Kong Dog Rescue,Dog,M,Josh,https://siuyeo.ng/hkaad20250615,,,
SPCA,Cat,M,細細,https://siuyeo.ng/hkaad20250614,,,
Paws United Charity,Dog,M,George,https://siuyeo.ng/hkaad20250613,,,
HKSCDA,Cat,M,叮噹,https://siuyeo.ng/hkaad20250612,,,
SAA,Cat,M,安安,https://siuyeo.ng/hkaad20250611,,,
HKAAC,Cat,M,亞黃,https://siuyeo.ng/hkaad20250610,,,
HKHERP,Lizard,N/A,Martini,https://siuyeo.ng/hkaad20250609,,,
Hong Kong Rabit Society,Rabbit,M,Solstice,https://siuyeo.ng/hkaad20250608,,,
Hong Kong Dog Rescue,Dog,F,Piggy,https://siuyeo.ng/hkaad20250607,,,
SPCA,Dog,M,烏龍,https://siuyeo.ng/hkaad20250606,,,
Paws United Charity,Dog,M,Berry,https://siuyeo.ng/hkaad20250605,,,
HKSCDA,Cat,F,山旮旯,https://siuyeo.ng/hkaad20250604,,,
SAA,Cat,M,Cooper,https://siuyeo.ng/hkaad20250603,,,
HKAAC,Dog,F,朱事丁妹妹,https://siuyeo.ng/hkaad20250602,,,
HKHERP,Snake,N/A,蟒友,https://siuyeo.ng/hkaad20250601,,,
Hong Kong Rabit Society,Rabbit,F,Oggy,https://siuyeo.ng/hkaad20250531,,,
Hong Kong Dog Rescue,Dog,M,Duke,https://siuyeo.ng/hkaad20250530,,,
SPCA,Dog,M,Nash,https://siuyeo.ng/hkaad20250529,,,
Paws United Charity,Cat,F,Mindy,https://siuyeo.ng/hkaad20250528,,,
HKSCDA,Cat,F,KellyB,https://siuyeo.ng/hkaad20250527,,,
SAA,Cat,F,La La,https://siuyeo.ng/hkaad20250526,,,
HKAAC,Dog,M,勝勝,https://siuyeo.ng/hkaad20250525,,,
HKHERP,Snake,N/A,迷蟒,https://siuyeo.ng/hkaad20250524,,,
Hong Kong Rabit Society,Rabbit,M,Smokey,https://siuyeo.ng/hkaad20250523,,,
Hong Kong Dog Rescue,Dog,M,Phoenix,https://siuyeo.ng/hkaad20250522,,,
SPCA,Dog,M,灘仔,https://siuyeo.ng/hkaad20250521,,,
Paws United Charity,Dog,F,Wooly,https://siuyeo.ng/hkaad20250520,,,
HKSCDA,Cat,M,荃森森,https://siuyeo.ng/hkaad20250519,,,
SAA,Cat,F,妮妮,https://siuyeo.ng/hkaad20250518,,,
HKAAC,Cat,F,Lulu,https://siuyeo.ng/hkaad20250517,,,
HKHERP,Snake,N/A,蟒掂,https://siuyeo.ng/hkaad20250516,,,
Hong Kong Rabit Society,Rabbit,M,Arroyo,https://siuyeo.ng/hkaad20250515,,,
Hong Kong Dog Rescue,Dog,M,Ike,https://siuyeo.ng/hkaad20250514,,,
SPCA,Dog,F,Kammi,https://siuyeo.ng/hkaad20250513,,,
Paws United Charity,Dog,M,Almond,https://siuyeo.ng/hkaad20250512,,,
HKSCDA,Cat,M,荃圍圍,https://siuyeo.ng/hkaad20250511,,,
SAA,Cat,F,多多,https://siuyeo.ng/hkaad20250510,,,
HKAAC,Cat,F,小瑩瑩,https://siuyeo.ng/hkaad20250509,,,
HKHERP,Snake,N/A,余仁生,https://siuyeo.ng/hkaad20250508,,,
Hong Kong Rabit Society,Rabbit,F,Melty,https://siuyeo.ng/hkaad20250507,,,
Hong Kong Dog Rescue,Dog,F,Plum,https://siuyeo.ng/hkaad20250506,,,
SPCA,Dog,M,龍仔,https://siuyeo.ng/hkaad20250505,,,
Paws United Charity,Dog,F,Sandra,https://siuyeo.ng/hkaad20250504,,,
HKSCDA,Cat,M,埔埔豬,https://siuyeo.ng/hkaad20250503,,,
SAA,Cat,F,阿V,https://siuyeo.ng/hkaad20250502,,,
HKAAC,Cat,F,金比,https://siuyeo.ng/hkaad20250501,,,
HKHERP,Turtle,M,寶寶,https://siuyeo.ng/hkaad20250430,,,
Hong Kong Rabit Society,Rabbit,M,Vodka,https://siuyeo.ng/hkaad20250429,,,
Hong Kong Dog Rescue,Dog,F,Misty,https://siuyeo.ng/hkaad20250428,,,
SPCA,Dog,F,Bambi,https://siuyeo.ng/hkaad20250427,,,
Paws United Charity,Dog,M,Coconut,https://siuyeo.ng/hkaad20250426,,,
HKSCDA,Cat,F,Shira,https://siuyeo.ng/hkaad20250425,,,
SAA,Cat,F,阿里里,https://siuyeo.ng/hkaad20250424,,,
HKAAC,Cat,F,囡囡,https://siuyeo.ng/hkaad20250423,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20250422,,,
Hong Kong Rabit Society,Rabbit,M,Aiden,https://siuyeo.ng/hkaad20250421,,,
Hong Kong Dog Rescue,Dog,M,Titus,https://siuyeo.ng/hkaad20250420,,,
SPCA,Rabbit,F,Toffee,https://siuyeo.ng/hkaad20250419,,,
Paws United Charity,Dog,F,Lettie,https://siuyeo.ng/hkaad20250418,,,
HKSCDA,Cat,F,木木株,https://siuyeo.ng/hkaad20250417,,,
SAA,Cat,F,阿里玉,https://siuyeo.ng/hkaad20250416,,,
HKAAC,Dog,M,Pan Pan,https://siuyeo.ng/hkaad20250415,,,
HKHERP,Snake,N/A,"AC05, AC06, AC07",https://siuyeo.ng/hkaad20250414,,,
Hong Kong Rabit Society,Rabbit,M,Bengie,https://siuyeo.ng/hkaad20250413,,,
Hong Kong Dog Rescue,Dog,F,Melba,https://siuyeo.ng/hkaad20250412,,,
SPCA,Rabbit,F,Rosalyn,https://siuyeo.ng/hkaad20250411,,,
Paws United Charity,Dog,F,Soya,https://siuyeo.ng/hkaad20250410,,,
HKSCDA,Cat,M,細DEE哥,https://siuyeo.ng/hkaad20250409,,,
SAA,Cat,M,Ali,https://siuyeo.ng/hkaad20250408,,,
HKAAC,Dog,M,威廉,https://siuyeo.ng/hkaad20250407,,,
HKHERP,Turtle,N/A,Odai,https://siuyeo.ng/hkaad20250406,,,
Hong Kong Rabit Society,Rabbit,M,Alston,https://siuyeo.ng/hkaad20250405,,,
Hong Kong Dog Rescue,Dog,F,Isobel,https://siuyeo.ng/hkaad20250404,,,
SPCA,Dog,F,Apple,https://siuyeo.ng/hkaad20250403,,,
Paws United Charity,Dog,F,Fancie,https://siuyeo.ng/hkaad20250402,,,
HKSCDA,Cat,F,壆滋滋,https://siuyeo.ng/hkaad20250401,,,
SAA,Cat,M,蛋黃,https://siuyeo.ng/hkaad20250331,,,
HKAAC,Dog,F,Mary,https://siuyeo.ng/hkaad20250330,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20250329,,,
Hong Kong Rabit Society,Rabbit,M,Chess,https://siuyeo.ng/hkaad20250328,,,
Hong Kong Dog Rescue,Dog,M,Teddy,https://siuyeo.ng/hkaad20250327,,,
SPCA,Dog,F,Miyuki,https://siuyeo.ng/hkaad20250326,,,
Paws United Charity,Dog,F,Wooly,https://siuyeo.ng/hkaad20250325,,,
HKSCDA,Cat,F,木木森,https://siuyeo.ng/hkaad20250324,,,
SAA,Cat,F,玥兒,https://siuyeo.ng/hkaad20250323,,,
HKAAC,Cat,M,小寶,https://siuyeo.ng/hkaad20250322,,,
HKHERP,Snake,N/A,Higos,https://siuyeo.ng/hkaad20250321,,,
Hong Kong Rabit Society,Rabbit,F,Piggie,https://siuyeo.ng/hkaad20250320,,,
Hong Kong Dog Rescue,Dog,M,Alex,https://siuyeo.ng/hkaad20250319,,,
SPCA,Rabbit,F,Zola,https://siuyeo.ng/hkaad20250318,,,
Paws United Charity,Cat,F,Fila,https://siuyeo.ng/hkaad20250317,,,
HKSCDA,Cat,M,狗仔,https://siuyeo.ng/hkaad20250316,,,
SAA,Cat,M,Mic Mic,https://siuyeo.ng/hkaad20250315,,,
HKAAC,Dog,M,Peter,https://siuyeo.ng/hkaad20250314,,,
HKHERP,Snake,N/A,"AC08, 阿橙",https://siuyeo.ng/hkaad20250313,,,
Hong Kong Rabit Society,Rabbit,M,Ozzy,https://siuyeo.ng/hkaad20250312,,,
Hong Kong Dog Rescue,Dog,F,Cressie,https://siuyeo.ng/hkaad20250311,,,
SPCA,Dog,F,小霞,https://siuyeo.ng/hkaad20250310,,,
Paws United Charity,Cat,M,Merla,https://siuyeo.ng/hkaad20250309,,,
HKSCDA,Cat,M,Falcon,https://siuyeo.ng/hkaad20250308,,,
SAA,Cat,F,Niu Niu,https://siuyeo.ng/hkaad20250307,,,
HKAAC,Dog,F,吱喳,https://siuyeo.ng/hkaad20250306,,,
HKHERP,Turtle,M,寶寶,https://siuyeo.ng/hkaad20250305,,,
Hong Kong Rabit Society,Rabbit,F,Muffin,https://siuyeo.ng/hkaad20250304,,,
Hong Kong Dog Rescue,Dog,M,Doddy,https://siuyeo.ng/hkaad20250303,,,
SPCA,Dog,M,Vingus,https://siuyeo.ng/hkaad20250302,,,
Paws United Charity,Dog,F,Finola,https://siuyeo.ng/hkaad20250301,,,
HKSCDA,Cat,M,心心,https://siuyeo.ng/hkaad20250228,,,
SAA,Cat,M,Bubble,https://siuyeo.ng/hkaad20250227,,,
HKAAC,Dog,M,熊貓,https://siuyeo.ng/hkaad20250226,,,
HKHERP,Turtle,N/A,紅豆,https://siuyeo.ng/hkaad20250225,,,
Hong Kong Rabit Society,Rabbit,F,Cheesy,https://siuyeo.ng/hkaad20250224,,,
Hong Kong Dog Rescue,Dog,M,Henry,https://siuyeo.ng/hkaad20250223,,,
SPCA,Cat,M,Theo,https://siuyeo.ng/hkaad20250222,,,
Paws United Charity,Dog,F,Rose,https://siuyeo.ng/hkaad20250221,,,
HKSCDA,Cat,F,豆豆,https://siuyeo.ng/hkaad20250220,,,
SAA,Cat,F,Bailey,https://siuyeo.ng/hkaad20250219,,,
HKAAC,Dog,F,莎莎,https://siuyeo.ng/hkaad20250218,,,
HKHERP,Snake,N/A,"AC05, AC06, AC07",https://siuyeo.ng/hkaad20250217,,,
Hong Kong Rabit Society,Rabbit,M,Olu,https://siuyeo.ng/hkaad20250216,,,
Hong Kong Dog Rescue,Dog,F,Ottilie,https://siuyeo.ng/hkaad20250215,,,
SPCA,Dog,M,Neo,https://siuyeo.ng/hkaad20250214,,,
Paws United Charity,Dog,F,Lettie,https://siuyeo.ng/hkaad20250213,,,
HKSCDA,Cat,F,哈哈哈,https://siuyeo.ng/hkaad20250212,,,
SAA,Cat,M,迎春,https://siuyeo.ng/hkaad20250211,,,
HKAAC,Cat,F,普洱,https://siuyeo.ng/hkaad20250210,,,
HKHERP,Turtle,N/A,Odai,https://siuyeo.ng/hkaad20250209,,,
Hong Kong Rabit Society,Rabbit,M,Kirby,https://siuyeo.ng/hkaad20250208,,,
Hong Kong Dog Rescue,Dog,M,Dobby,https://siuyeo.ng/hkaad20250207,,,
SPCA,Cat,F,Arisa,https://siuyeo.ng/hkaad20250206,,,
Paws United Charity,Cat,F,Maisy,https://siuyeo.ng/hkaad20250205,,,
HKSCDA,Cat,M,田大少,https://siuyeo.ng/hkaad20250204,,,
SAA,Cat,M,綠茶,https://siuyeo.ng/hkaad20250203,,,
HKAAC,Cat,F,小梵,https://siuyeo.ng/hkaad20250202,,,
HKHERP,Snake,N/A,阿橙,https://siuyeo.ng/hkaad20250201,,,
Hong Kong Rabit Society,Rabbit,M,Darrien,https://siuyeo.ng/hkaad20250131,,,
Hong Kong Dog Rescue,Dog,F,Yasmin,https://siuyeo.ng/hkaad20250130,,,
SPCA,Cat,M,懵豬,https://siuyeo.ng/hkaad20250129,,,
Paws United Charity,Dog,M,Almond,https://siuyeo.ng/hkaad20250128,,,
HKSCDA,Cat,F,多壽,https://siuyeo.ng/hkaad20250127,,,
SAA,Cat,F,Fi Fi,https://siuyeo.ng/hkaad20250126,,,
HKAAC,Dog,F,心心,https://siuyeo.ng/hkaad20250125,,,
HKHERP,Snake,N/A,Higos,https://siuyeo.ng/hkaad20250124,,,
Hong Kong Rabit Society,Rabbit,F,Runa,https://siuyeo.ng/hkaad20250123,,,
